filename,Width_in,Height_in,Confidence
251015_020254_0000434171_CAM1_OK_bmp.rf.c0f8b8affedeabb6475910769e661a0a.jpg,0.302,0.1294,0.8704
251015_020254_0000434171_CAM1_OK_bmp.rf.c0f8b8affedeabb6475910769e661a0a.jpg,0.302,0.1294,0.8631
251015_020254_0000434171_CAM1_OK_bmp.rf.c0f8b8affedeabb6475910769e661a0a.jpg,0.2589,0.1294,0.8598
251015_020254_0000434171_CAM1_OK_bmp.rf.c0f8b8affedeabb6475910769e661a0a.jpg,0.2589,0.1294,0.8595
251015_020254_0000434171_CAM1_OK_bmp.rf.c0f8b8affedeabb6475910769e661a0a.jpg,0.2589,0.1294,0.854
251015_020254_0000434171_CAM1_OK_bmp.rf.c0f8b8affedeabb6475910769e661a0a.jpg,0.302,0.1294,0.847
251015_020254_0000434171_CAM1_OK_bmp.rf.c0f8b8affedeabb6475910769e661a0a.jpg,0.302,0.1294,0.8427
251015_020254_0000434171_CAM1_OK_bmp.rf.c0f8b8affedeabb6475910769e661a0a.jpg,0.3452,0.1726,0.8347
251015_020254_0000434171_CAM1_OK_bmp.rf.c0f8b8affedeabb6475910769e661a0a.jpg,0.3452,0.2157,0.7979
251015_020254_0000434171_CAM1_OK_bmp.rf.c0f8b8affedeabb6475910769e661a0a.jpg,0.302,0.1294,0.795
251015_020254_0000434171_CAM1_OK_bmp.rf.c0f8b8affedeabb6475910769e661a0a.jpg,0.2589,0.1294,0.7816
251015_020254_0000434171_CAM1_OK_bmp.rf.c0f8b8affedeabb6475910769e661a0a.jpg,0.2589,0.1294,0.7802
251015_020254_0000434171_CAM1_OK_bmp.rf.c0f8b8affedeabb6475910769e661a0a.jpg,0.302,0.1294,0.7567
251015_020254_0000434171_CAM1_OK_bmp.rf.c0f8b8affedeabb6475910769e661a0a.jpg,0.2589,0.1294,0.734
251015_020254_0000434171_CAM1_OK_bmp.rf.c0f8b8affedeabb6475910769e661a0a.jpg,0.3452,0.2157,0.7336
251015_020254_0000434171_CAM1_OK_bmp.rf.c0f8b8affedeabb6475910769e661a0a.jpg,0.302,0.1726,0.6839
251015_020254_0000434171_CAM1_OK_bmp.rf.c0f8b8affedeabb6475910769e661a0a.jpg,0.2589,0.1294,0.6082
251015_020254_0000434171_CAM1_OK_bmp.rf.c0f8b8affedeabb6475910769e661a0a.jpg,0.3452,0.1726,0.6026
251015_020254_0000434171_CAM1_OK_bmp.rf.c0f8b8affedeabb6475910769e661a0a.jpg,0.1294,0.1294,0.5818
251010_124909_0000080565_CAM1_NG_bmp.rf.2d4f3a24c0b3b217927b9fcb6971845c.jpg,0.3452,0.1726,0.9479
251010_124909_0000080565_CAM1_NG_bmp.rf.2d4f3a24c0b3b217927b9fcb6971845c.jpg,0.3883,0.1726,0.9393
251010_124909_0000080565_CAM1_NG_bmp.rf.2d4f3a24c0b3b217927b9fcb6971845c.jpg,0.3452,0.2157,0.9381
251010_124909_0000080565_CAM1_NG_bmp.rf.2d4f3a24c0b3b217927b9fcb6971845c.jpg,0.3452,0.1726,0.9374
251010_124909_0000080565_CAM1_NG_bmp.rf.2d4f3a24c0b3b217927b9fcb6971845c.jpg,0.302,0.2157,0.9245
251010_124909_0000080565_CAM1_NG_bmp.rf.2d4f3a24c0b3b217927b9fcb6971845c.jpg,0.3883,0.1726,0.9243
251010_124909_0000080565_CAM1_NG_bmp.rf.2d4f3a24c0b3b217927b9fcb6971845c.jpg,0.3452,0.1726,0.9183
251010_124909_0000080565_CAM1_NG_bmp.rf.2d4f3a24c0b3b217927b9fcb6971845c.jpg,0.302,0.1294,0.9145
251010_124909_0000080565_CAM1_NG_bmp.rf.2d4f3a24c0b3b217927b9fcb6971845c.jpg,0.3452,0.1726,0.906
251010_124909_0000080565_CAM1_NG_bmp.rf.2d4f3a24c0b3b217927b9fcb6971845c.jpg,0.3883,0.2157,0.9059
251010_124909_0000080565_CAM1_NG_bmp.rf.2d4f3a24c0b3b217927b9fcb6971845c.jpg,0.2589,0.1294,0.9011
251010_124909_0000080565_CAM1_NG_bmp.rf.2d4f3a24c0b3b217927b9fcb6971845c.jpg,0.302,0.1726,0.8975
251010_124909_0000080565_CAM1_NG_bmp.rf.2d4f3a24c0b3b217927b9fcb6971845c.jpg,0.3452,0.2157,0.891
251010_124909_0000080565_CAM1_NG_bmp.rf.2d4f3a24c0b3b217927b9fcb6971845c.jpg,0.3452,0.2157,0.8863
251010_124909_0000080565_CAM1_NG_bmp.rf.2d4f3a24c0b3b217927b9fcb6971845c.jpg,0.3452,0.1726,0.8819
251010_124909_0000080565_CAM1_NG_bmp.rf.2d4f3a24c0b3b217927b9fcb6971845c.jpg,0.302,0.1294,0.8761
251010_124909_0000080565_CAM1_NG_bmp.rf.2d4f3a24c0b3b217927b9fcb6971845c.jpg,0.302,0.1294,0.8699
251010_124909_0000080565_CAM1_NG_bmp.rf.2d4f3a24c0b3b217927b9fcb6971845c.jpg,0.3452,0.1726,0.868
251010_124909_0000080565_CAM1_NG_bmp.rf.2d4f3a24c0b3b217927b9fcb6971845c.jpg,0.2589,0.1294,0.8588
251010_124909_0000080565_CAM1_NG_bmp.rf.2d4f3a24c0b3b217927b9fcb6971845c.jpg,0.302,0.1294,0.8327
251010_124909_0000080565_CAM1_NG_bmp.rf.2d4f3a24c0b3b217927b9fcb6971845c.jpg,0.302,0.1294,0.829
251010_124909_0000080565_CAM1_NG_bmp.rf.2d4f3a24c0b3b217927b9fcb6971845c.jpg,0.302,0.1294,0.7869
251010_124909_0000080565_CAM1_NG_bmp.rf.2d4f3a24c0b3b217927b9fcb6971845c.jpg,0.302,0.1294,0.7862
251010_124909_0000080565_CAM1_NG_bmp.rf.2d4f3a24c0b3b217927b9fcb6971845c.jpg,0.2589,0.1294,0.7826
251010_124909_0000080565_CAM1_NG_bmp.rf.2d4f3a24c0b3b217927b9fcb6971845c.jpg,0.302,0.1294,0.7331
251010_124909_0000080565_CAM1_NG_bmp.rf.2d4f3a24c0b3b217927b9fcb6971845c.jpg,0.3883,0.2157,0.6912
251010_124909_0000080565_CAM1_NG_bmp.rf.2d4f3a24c0b3b217927b9fcb6971845c.jpg,0.1294,0.1294,0.6043
251010_124909_0000080565_CAM1_NG_bmp.rf.2d4f3a24c0b3b217927b9fcb6971845c.jpg,0.302,0.1294,0.5973
251015_020247_0000434145_CAM1_OK_bmp.rf.0a90fca71377d11859f9eeb45916666e.jpg,0.3452,0.2157,0.9221
251015_020247_0000434145_CAM1_OK_bmp.rf.0a90fca71377d11859f9eeb45916666e.jpg,0.3452,0.2157,0.9129
251015_020247_0000434145_CAM1_OK_bmp.rf.0a90fca71377d11859f9eeb45916666e.jpg,0.3452,0.2157,0.9127
251015_020247_0000434145_CAM1_OK_bmp.rf.0a90fca71377d11859f9eeb45916666e.jpg,0.3883,0.2157,0.9123
251015_020247_0000434145_CAM1_OK_bmp.rf.0a90fca71377d11859f9eeb45916666e.jpg,0.3883,0.1726,0.9112
251015_020247_0000434145_CAM1_OK_bmp.rf.0a90fca71377d11859f9eeb45916666e.jpg,0.3452,0.1726,0.9098
251015_020247_0000434145_CAM1_OK_bmp.rf.0a90fca71377d11859f9eeb45916666e.jpg,0.3452,0.1726,0.907
251015_020247_0000434145_CAM1_OK_bmp.rf.0a90fca71377d11859f9eeb45916666e.jpg,0.3452,0.1726,0.8898
251015_020247_0000434145_CAM1_OK_bmp.rf.0a90fca71377d11859f9eeb45916666e.jpg,0.2589,0.1294,0.8804
251015_020247_0000434145_CAM1_OK_bmp.rf.0a90fca71377d11859f9eeb45916666e.jpg,0.3452,0.2157,0.8802
251015_020247_0000434145_CAM1_OK_bmp.rf.0a90fca71377d11859f9eeb45916666e.jpg,0.3452,0.1294,0.8775
251015_020247_0000434145_CAM1_OK_bmp.rf.0a90fca71377d11859f9eeb45916666e.jpg,0.302,0.1294,0.8774
251015_020247_0000434145_CAM1_OK_bmp.rf.0a90fca71377d11859f9eeb45916666e.jpg,0.2589,0.1294,0.8695
251015_020247_0000434145_CAM1_OK_bmp.rf.0a90fca71377d11859f9eeb45916666e.jpg,0.302,0.1294,0.8663
251015_020247_0000434145_CAM1_OK_bmp.rf.0a90fca71377d11859f9eeb45916666e.jpg,0.3452,0.1726,0.8619
251015_020247_0000434145_CAM1_OK_bmp.rf.0a90fca71377d11859f9eeb45916666e.jpg,0.3452,0.2157,0.8508
