image_name,class_name,r,g,b,Brightness,Width_in,Height_in,Confidence,hex_color
251107_232357_0000097814_CAM1_NG_bmp.rf.6f26dd44420affbc02773629c58c7907.jpg,incorrect qblock,192,192,192,192.0,0.27,0.135,0.5971,#c0c0c0
251107_232357_0000097814_CAM1_NG_bmp.rf.6f26dd44420affbc02773629c58c7907.jpg,incorrect qblock,185,185,185,185.0,0.27,0.1125,0.5548,#b9b9b9
251107_231812_0000096669_CAM1_NG_bmp.rf.5743852c9b286e6de8718f01f7fcb48b.jpg,incorrect qblock,182,182,182,182.0,0.36,0.2025,0.8907,#b6b6b6
251107_231812_0000096669_CAM1_NG_bmp.rf.5743852c9b286e6de8718f01f7fcb48b.jpg,incorrect qblock,176,176,176,176.0,0.3375,0.18,0.846,#b0b0b0
251107_231812_0000096669_CAM1_NG_bmp.rf.5743852c9b286e6de8718f01f7fcb48b.jpg,incorrect qblock,175,175,175,175.0,0.3375,0.18,0.8311,#afafaf
251107_231812_0000096669_CAM1_NG_bmp.rf.5743852c9b286e6de8718f01f7fcb48b.jpg,incorrect qblock,156,156,156,156.0,0.36,0.18,0.8173,#9c9c9c
251107_231812_0000096669_CAM1_NG_bmp.rf.5743852c9b286e6de8718f01f7fcb48b.jpg,incorrect qblock,195,195,195,195.0,0.36,0.18,0.8124,#c3c3c3
251107_231812_0000096669_CAM1_NG_bmp.rf.5743852c9b286e6de8718f01f7fcb48b.jpg,incorrect qblock,188,188,188,188.0,0.3825,0.2025,0.7746,#bcbcbc
251107_231812_0000096669_CAM1_NG_bmp.rf.5743852c9b286e6de8718f01f7fcb48b.jpg,incorrect qblock,184,184,184,184.0,0.27,0.09,0.7659,#b8b8b8
251107_231812_0000096669_CAM1_NG_bmp.rf.5743852c9b286e6de8718f01f7fcb48b.jpg,incorrect qblock,173,173,173,173.0,0.27,0.09,0.7153,#adadad
251107_231812_0000096669_CAM1_NG_bmp.rf.5743852c9b286e6de8718f01f7fcb48b.jpg,incorrect qblock,182,182,182,182.0,0.3375,0.1575,0.6922,#b6b6b6
251107_231812_0000096669_CAM1_NG_bmp.rf.5743852c9b286e6de8718f01f7fcb48b.jpg,incorrect qblock,191,191,191,191.0,0.2925,0.1125,0.6529,#bfbfbf
251107_231812_0000096669_CAM1_NG_bmp.rf.5743852c9b286e6de8718f01f7fcb48b.jpg,incorrect qblock,188,188,188,188.0,0.27,0.1125,0.636,#bcbcbc
251107_231812_0000096669_CAM1_NG_bmp.rf.5743852c9b286e6de8718f01f7fcb48b.jpg,incorrect qblock,189,189,189,189.0,0.2925,0.09,0.6161,#bdbdbd
251107_231812_0000096669_CAM1_NG_bmp.rf.5743852c9b286e6de8718f01f7fcb48b.jpg,incorrect qblock,175,175,175,175.0,0.27,0.1125,0.5506,#afafaf
251107_231812_0000096669_CAM1_NG_bmp.rf.5743852c9b286e6de8718f01f7fcb48b.jpg,incorrect qblock,188,188,188,188.0,0.27,0.1125,0.5344,#bcbcbc
251107_232600_0000098221_CAM1_NG_bmp.rf.4b6cc54b2b2254bed086e2010ac29519.jpg,incorrect qblock,183,183,183,183.0,0.3375,0.18,0.8768,#b7b7b7
251107_232600_0000098221_CAM1_NG_bmp.rf.4b6cc54b2b2254bed086e2010ac29519.jpg,incorrect qblock,185,185,185,185.0,0.36,0.2025,0.8722,#b9b9b9
251107_232600_0000098221_CAM1_NG_bmp.rf.4b6cc54b2b2254bed086e2010ac29519.jpg,incorrect qblock,174,174,174,174.0,0.3375,0.18,0.8383,#aeaeae
251107_232600_0000098221_CAM1_NG_bmp.rf.4b6cc54b2b2254bed086e2010ac29519.jpg,incorrect qblock,191,191,191,191.0,0.3825,0.18,0.8118,#bfbfbf
251107_232600_0000098221_CAM1_NG_bmp.rf.4b6cc54b2b2254bed086e2010ac29519.jpg,incorrect qblock,160,160,160,160.0,0.36,0.18,0.7881,#a0a0a0
251107_232600_0000098221_CAM1_NG_bmp.rf.4b6cc54b2b2254bed086e2010ac29519.jpg,incorrect qblock,185,185,185,185.0,0.3375,0.1575,0.7777,#b9b9b9
251107_232600_0000098221_CAM1_NG_bmp.rf.4b6cc54b2b2254bed086e2010ac29519.jpg,incorrect qblock,193,193,193,193.0,0.36,0.18,0.7683,#c1c1c1
251107_232600_0000098221_CAM1_NG_bmp.rf.4b6cc54b2b2254bed086e2010ac29519.jpg,incorrect qblock,176,176,176,176.0,0.2925,0.09,0.7493,#b0b0b0
251107_232600_0000098221_CAM1_NG_bmp.rf.4b6cc54b2b2254bed086e2010ac29519.jpg,incorrect qblock,186,186,186,186.0,0.27,0.1125,0.7409,#bababa
251107_232600_0000098221_CAM1_NG_bmp.rf.4b6cc54b2b2254bed086e2010ac29519.jpg,incorrect qblock,190,190,190,190.0,0.27,0.1125,0.7272,#bebebe
251107_232600_0000098221_CAM1_NG_bmp.rf.4b6cc54b2b2254bed086e2010ac29519.jpg,incorrect qblock,187,187,187,187.0,0.27,0.09,0.6966,#bbbbbb
251107_232600_0000098221_CAM1_NG_bmp.rf.4b6cc54b2b2254bed086e2010ac29519.jpg,incorrect qblock,180,180,180,180.0,0.27,0.1125,0.683,#b4b4b4
251107_232600_0000098221_CAM1_NG_bmp.rf.4b6cc54b2b2254bed086e2010ac29519.jpg,incorrect qblock,182,182,182,182.0,0.27,0.1125,0.6038,#b6b6b6
251107_232600_0000098221_CAM1_NG_bmp.rf.4b6cc54b2b2254bed086e2010ac29519.jpg,incorrect qblock,180,180,180,180.0,0.27,0.1125,0.5987,#b4b4b4
251107_232621_0000098291_CAM1_NG_bmp.rf.af58cd28d7a4e187674f7adf47fc2aba.jpg,incorrect qblock,183,183,183,183.0,0.36,0.2025,0.8759,#b7b7b7
251107_232621_0000098291_CAM1_NG_bmp.rf.af58cd28d7a4e187674f7adf47fc2aba.jpg,incorrect qblock,181,181,181,181.0,0.3375,0.18,0.8695,#b5b5b5
251107_232621_0000098291_CAM1_NG_bmp.rf.af58cd28d7a4e187674f7adf47fc2aba.jpg,incorrect qblock,181,181,181,181.0,0.3375,0.2025,0.8234,#b5b5b5
251107_232621_0000098291_CAM1_NG_bmp.rf.af58cd28d7a4e187674f7adf47fc2aba.jpg,incorrect qblock,187,187,187,187.0,0.27,0.135,0.8014,#bbbbbb
251107_232621_0000098291_CAM1_NG_bmp.rf.af58cd28d7a4e187674f7adf47fc2aba.jpg,incorrect qblock,194,194,194,194.0,0.3375,0.18,0.795,#c2c2c2
251107_232621_0000098291_CAM1_NG_bmp.rf.af58cd28d7a4e187674f7adf47fc2aba.jpg,incorrect qblock,173,173,173,173.0,0.36,0.2025,0.7928,#adadad
251107_232621_0000098291_CAM1_NG_bmp.rf.af58cd28d7a4e187674f7adf47fc2aba.jpg,incorrect qblock,192,192,192,192.0,0.3825,0.18,0.7896,#c0c0c0
251107_232621_0000098291_CAM1_NG_bmp.rf.af58cd28d7a4e187674f7adf47fc2aba.jpg,incorrect qblock,189,189,189,189.0,0.27,0.09,0.719,#bdbdbd
251107_232621_0000098291_CAM1_NG_bmp.rf.af58cd28d7a4e187674f7adf47fc2aba.jpg,incorrect qblock,195,195,195,195.0,0.36,0.1575,0.709,#c3c3c3
251107_232621_0000098291_CAM1_NG_bmp.rf.af58cd28d7a4e187674f7adf47fc2aba.jpg,incorrect qblock,190,190,190,190.0,0.2925,0.1125,0.6954,#bebebe
251107_232621_0000098291_CAM1_NG_bmp.rf.af58cd28d7a4e187674f7adf47fc2aba.jpg,incorrect qblock,178,178,178,178.0,0.27,0.09,0.6811,#b2b2b2
251107_232621_0000098291_CAM1_NG_bmp.rf.af58cd28d7a4e187674f7adf47fc2aba.jpg,incorrect qblock,188,188,188,188.0,0.2925,0.1125,0.6629,#bcbcbc
251107_232621_0000098291_CAM1_NG_bmp.rf.af58cd28d7a4e187674f7adf47fc2aba.jpg,incorrect qblock,170,170,170,170.0,0.27,0.09,0.6415,#aaaaaa
251107_232621_0000098291_CAM1_NG_bmp.rf.af58cd28d7a4e187674f7adf47fc2aba.jpg,incorrect qblock,188,188,188,188.0,0.2925,0.1125,0.6322,#bcbcbc
251010_070221_0000043576_CAM1_NG_bmp.rf.f9407d42d4fce409c527ed1234d68428.jpg,qblock,100,100,100,100.0,0.3825,0.225,0.9371,#646464
251010_070221_0000043576_CAM1_NG_bmp.rf.f9407d42d4fce409c527ed1234d68428.jpg,qblock,87,87,87,87.0,0.36,0.2025,0.9314,#575757
251010_070221_0000043576_CAM1_NG_bmp.rf.f9407d42d4fce409c527ed1234d68428.jpg,qblock,89,89,89,89.0,0.3825,0.2025,0.9285,#595959
251010_070221_0000043576_CAM1_NG_bmp.rf.f9407d42d4fce409c527ed1234d68428.jpg,qblock,87,87,87,87.0,0.3825,0.2025,0.9127,#575757
